TARGET_DATASET,TARGET_TABLE,TARGET_FIELD,SOURCE_TABLE,SOURCE_FIELD,SOFT_RULE,Complexity,source
SolvvBusinessVault,BRG_GESCHAEFT,ABS_FAKTOR,,,SR_1.86,89,sum(TSAT_INSTRUMENT_TO_INSTRUMENT.PER300) over (partition by PIT_POSITION.BK_POSITION_ID)
SolvvBusinessVault,BRG_GESCHAEFT,AVAS_B269,,,SR_1.90,45,"TSAT_POSITION.B269 * (1-IFNULL(@SR_1.86@, 0))"
SolvvBusinessVault,BRG_GESCHAEFT,BEITRAG_AUSFALLFONDS,,,SR_1.19,90,case when TSAT_POSITION.B134 is null or TSAT_POSITION.B134 = 0 then 'nein'   else 'ja' end
SolvvBusinessVault,BRG_GESCHAEFT,BETRAG_SCRA_VAD620,,,SR_1.92,47,"TSAT_POSITION.VAD620 * (1-IFNULL(@SR_1.86@, 0))"
SolvvBusinessVault,BRG_GESCHAEFT,BEWERTUNG_EG_VAD270,,,SR_1.91,47,"TSAT_POSITION.VAD270 * (1-IFNULL(@SR_1.86@, 0))"
SolvvBusinessVault,BRG_GESCHAEFT,BK_POSITION_ID,PIT_POSITION,BK_POSITION_ID,,0,
SolvvBusinessVault,BRG_GESCHAEFT,BMG_NACH_CRM,,,SR_1.9,8,@SR_1.7@
SolvvBusinessVault,BRG_GESCHAEFT,BMG_NACH_EWB,,,SR_1.7,110,case when TSAT_POSITION.B603 = 'A' or TSAT_POSITION.B500 = 0 then (@SR_1.62@) - (@SR_1.77@) else @SR_1.62@ end
SolvvBusinessVault,BRG_GESCHAEFT,BMG_NACH_SUBSTITUTION,,,SR_1.8,8,@SR_1.7@
SolvvBusinessVault,BRG_GESCHAEFT,BMG_VOR_CRM,,,SR_1.62,1052,"case when PIT_POSITION.KZ_BESICHERT = 0 then case when TSAT_POSITION.PTY069 = 1 then  case when TSAT_POSITION.G002 = 1 then GREATEST(IFNULL(TSAT_POSITION.C214, 0) - IFNULL(TSAT_POSITION.C236, 0),0)  else GREATEST(IFNULL(TSAT_POSITION.C236, 0) - IFNULL(TSAT_POSITION.C214, 0),0) end when TSAT_POSITION.B603 = 'A' and (TSAT_POSITION.CRE015 is not null or TSAT_POSITION.C265 is not null or TSAT_POSITION.C267 is not null) then IFNULL(TSAT_POSITION.CRE015,0) + IFNULL(TSAT_POSITION.C265,0) + IFNULL(TSAT_POSITION.C267,0) else (TSAT_POSITION.CRE016 + IFNULL(TSAT_POSITION.C265,0) + IFNULL(TSAT_POSITION.C267,0)) * (1-IFNULL(@SR_1.86@, 0)) end when PIT_POSITION.KZ_BESICHERT = 1 then case when TSAT_POSITION.B603 = 'A' and (TSAT_POSITION.CRE015 is not null or TSAT_POSITION.C265 is not null or TSAT_POSITION.C267 is not null) then IFNULL(TSAT_POSITION.CRE015,0) + IFNULL(TSAT_POSITION.C265,0) + IFNULL(TSAT_POSITION.C267,0) else (TSAT_POSITION.CRE016 + IFNULL(TSAT_POSITION.C265,0) + IFNULL(TSAT_POSITION.C267,0)) * (1-IFNULL(@SR_1.86@, 0)) end else null end"
